"id"#"operation_type"#"operation_name"#"unit"#"technique_type"#"technique_name"#"num_of_tech"#"workload_1000_units"
1#snt_prs#Снятие ПРС#м3#buld#Бульдозер#1#3.0
2#snt_prs#Снятие ПРС#м3#ekskv#Экскаватор#1#20.0
3#ust_viem#Устройство выемки#м3#ekskv#Экскаватор#1#6.0
4#ust_viem#Устройство выемки#м3#buld#Бульдозер#1#5.0
5#ust_viem#Устройство выемки#м3#katgr#Каток грунтовый#1#2.0
6#ust_nasp#Устройство насыпи#м3#avtgrd#Автогрейдер#1#3.0
7#ust_nasp#Устройство насыпи#м3#buld#Бульдозер#1#16.0
8#ust_nasp#Устройство насыпи#м3#ekskv#Экскаватор#1#4.0
9#ust_nasp#Устройство насыпи#м3#katgr#Каток грунтовый#1#13.0
10#ust_geotxtl#Устройство геотекстиля#м2#osnrb#Основной рабочий#4#14.0
11#ust_geotxtl#Устройство геотекстиля#м2#avtbrt#Автомобиль бортовой#1#1.0
12#ust_geotxtl#Устройство геотекстиля#м2#ekskvpgr#Экскаватор-погрузчик#1#1.0
13#ust_pps#Устройство ППС#м3#avtgrd#Автогрейдер#1#3.0
14#ust_pps#Устройство ППС#м3#buld#Бульдозер#1#15.0
15#ust_pps#Устройство ППС#м3#ekskv#Экскаватор#1#4.0
16#ust_pps#Устройство ППС#м3#katgr#Каток грунтовый#1#13.0
17#ust_kv#Устройство кювета#м3#ekskv#Экскаватор#1#10.0
18#ust_kv#Устройство кювета#м3#ekskv#Основной рабочий#2#8.0
