"id"#"num_prd"#"operation_type"#"num_con"#"work_name"#"unit"#"picket_start"#"picket_finish"#"length"#"vol_prd"
1#РД_021#snt_prs#"1.1"#Снятие ПРС#м3#0.0#40.0#40.0#4000.0
2#РД_021#snt_prs#"1.1"#Снятие ПРС#м3#40.0#77.0#37.0#3000.0
3#РД_021#snt_prs#"1.1"#Снятие ПРС#м3#77.0#100.0#23.0#3000.0
4#РД_021#ust_viem#"1.2"#Устройство выемки#м3#25.0#30.0#5.0#500.0
5#РД_021#ust_viem#"1.2"#Устройство выемки#м3#50.0#60.0#10.0#1500.0
6#РД_021#ust_viem#"1.2"#Устройство выемки#м3#60.0#90.0#30.0#3000.0
7#РД_021#ust_nasp#"1.3"#Устройство насыпи#м3#0.0#25.0#25.0#2000.0
8#РД_021#ust_nasp#"1.3"#Устройство насыпи#м3#30.0#50.0#20.0#2000.0
9#РД_021#ust_nasp#"1.3"#Устройство насыпи#м3#90.0#100.0#10.0#2000.0
10#РД_021#ust_kv#"1.4"#Устройство кюветов#м3#0.0#25.0#25.0#500.0
11#РД_021#ust_kv#"1.4"#Устройство кюветов#м3#25.0#50.0#25.0#500.0
12#РД_021#ust_kv#"1.4"#Устройство кюветов#м3#50.0#100.0#50.0#1000.0
13#РД_031#ust_geotxtl#"2.1"#Устройство геотекситиля#м2#0.0#45.0#45.0#7000.0
14#РД_031#ust_geotxtl#"2.1"#Устройство геотекситиля#м2#45.0#80.0#35.0#7000.0
15#РД_031#ust_geotxtl#"2.1"#Устройство геотекситиля#м2#80.0#100.0#20.0#6000.0
16#РД_031#ust_pps#"2.2"#Устройство ППС#м3#0.0#45.0#45.0#3000.0
17#РД_031#ust_pps#"2.2"#Устройство ППС#м3#45.0#80.0#35.0#3000.0
18#РД_031#ust_pps#"2.2"#Устройство ППС#м3#80.0#100.0#20.0#2500.0
