"id"#"date"#"operation_type"#"ispol"#"num_con"#"work_name"#"unit"#"picket_start"#"picket_finish"#"length"#"vol_fact"
1#2024-01-01#snt_prs#ТСМ#"1.1"#Снятие ПРС#м3#0.0#40.0#40.0#2500.0
2#2024-01-02#snt_prs#ТСМ#"1.1"#Снятие ПРС#м3#45#50#5.0#300
2#2024-01-02#snt_prs#ТСМ#"1.1"#Снятие ПРС#м3#55.0#77.0#22.0#1700.0
3#2024-01-03#snt_prs#ТСМ#"1.1"#Снятие ПРС#м3#77.0#100.0#23.0#2000.0
4#2024-01-04#ust_viem#ТСМ#"1.2"#Устройство выемки#м3#25.0#30.0#5.0#500.0
5#2024-01-05#ust_viem#ТСМ#"1.2"#Устройство выемки#м3#50.0#60.0#10.0#1500.0
6#2024-01-06#ust_viem#ТСМ#"1.2"#Устройство выемки#м3#60.0#90.0#30.0#3000.0
10#2024-01-10#ust_kv#ТСМ#"1.4"#Устройство кюветов#м3#0.0#25.0#25.0#300.0
11#2024-01-11#ust_kv#ТСМ#"1.4"#Устройство кюветов#м3#25.0#50.0#25.0#250.0
12#2024-01-12#ust_kv#ТСМ#"1.4"#Устройство кюветов#м3#50.0#100.0#50.0#700.0
13#2024-01-13#ust_geotxtl#ТСМ#"2.1"#Устройство геотекситиля#м2#0.0#45.0#45.0#3000.0
14#2024-01-14#ust_geotxtl#ТСМ#"2.1"#Устройство геотекситиля#м2#45.0#80.0#35.0#1000.0
15#2024-01-15#ust_geotxtl#ТСМ#"2.1"#Устройство геотекситиля#м2#80.0#100.0#20.0#1000.0
16#2024-01-16#ust_pps#ТСМ#"2.2"#Устройство ППС#м3#0.0#45.0#45.0#1500.0
17#2024-01-17#ust_pps#ТСМ#"2.2"#Устройство ППС#м3#45.0#80.0#35.0#1500.0
18#2024-01-18#ust_pps#ТСМ#"2.2"#Устройство ППС#м3#80.0#100.0#20.0#1500.0
7#2024-01-07#ust_nasp#ТСМ#"1.3"#Устройство насыпи#м3#0.0#25.0#25.0#1500.0
8#2024-01-08#ust_nasp#ТСМ#"1.3"#Устройство насыпи#м3#30.0#50.0#20.0#1500.0
9#2024-01-09#ust_nasp#ТСМ#"1.3"#Устройство насыпи#м3#90.0#100.0#10.0#1500.0
